/,준비물,가격,수량,총 가격,링크,비고
문제,시계,6700,4,26800,http://mitem.gmarket.co.kr/Item?goodscode=1474925339,
,Ohp 필름,8000,1,8000,http://mitem.gmarket.co.kr/Item?goodscode=583208802&buyboxtype=ad,
,코팅지,8800,1,8800,http://mitem.gmarket.co.kr/Item?goodscode=2755826408&buyboxtype=ad,
,UV램프 + UV펜,10980,2,21960,http://mitem.gmarket.co.kr/Item?goodscode=3318162511,
인테리어,연필통,8330,1,8330,http://mitem.gmarket.co.kr/Item?goodscode=3726375985,
,회색 비닐,,n,,,공간 분리로 쓰는 것이므로 정말 많이 사야함.
,매직파티션,86400,1,86400,http://mitem.gmarket.co.kr/Item?goodscode=1548202745,
,스피커,,,,,체육선생님께 대여 허락 받아야 함
,죄수복,15500,1,15500,https://mitem.gmarket.co.kr/Item?goodscode=1863867715&buyboxtype=ad,
,철제 바구니,20590,1,20590,http://mitem.gmarket.co.kr/Item?goodscode=2713297880,
,액자,9800,2,19600,http://mitem.gmarket.co.kr/Item?goodscode=3148677855&buyboxtype=ad,
방탈출 진행 소품,금고,29800,1,29800,http://mitem.gmarket.co.kr/Item?goodscode=526638425,
,방향 자물쇠,,,,,이미 구비 완료
,숫자 자물쇠,17580,1,17580,http://mitem.gmarket.co.kr/Item?goodscode=3707054289,
상품(실패 시),츄파춥스,33830,1,33830,https://item.gmarket.co.kr/Item?goodscode=2194455088&buyboxtype=ad,
,홍삼캔디,8900,1,8900,https://item.gmarket.co.kr/Item?goodscode=3119452372&buyboxtype=ad,
,콩사탕,13490,1,13490,https://item.gmarket.co.kr/Item?goodscode=3322409544&buyboxtype=ad,
상품(성공 시)(택1),간식 꾸러미≤7000,5200,,,https://item.gmarket.co.kr/Item?goodscode=1959421962&buyboxtype=ad,성공한 사람 수만큼 구비 (= 미리 구비X)
,메가커피 5000원,3500,,,https://item.gmarket.co.kr/Item?goodscode=2490238961,
,하겐다즈 미니,5500,,,https://item.gmarket.co.kr/Item?goodscode=2486694211,
,,,,,,"최규현이 회색 비닐 좋은 거 알고 있는 게 있어서 
최규현이 그거 써넣어야 하는데, 혼자 
자버린 것에 대하여.. 신은수가 뒷처리 하고 
있고.. 책임은 최규현이한테 있습니다.."
소품 전체 총 가격,,,,,,
